+-------------------------------------------------------------------------+---------------------------------------------------------------------------+------+----+------+
|                                   Text                                  |                                Translation                                | From | To | key  |
+-------------------------------------------------------------------------+---------------------------------------------------------------------------+------+----+------+
|                   operaciones entre agentes bursátiles                  |                        transactions between brokers                       |  es  | en |  -1  |
|                         seguro de vida variable                         |                          variable life insurance                          |  es  | en |  0   |
|                         retorno sobre el activo                         |                              Return on assets                             |  es  | en |  1   |
|                             swap de acciones                            |                                equity swap                                |  es  | en |  2   |
|                      letra de cambio no documentada                     |                        documented bill of exchange                        |  es  | en |  3   |
|                           para su información                           |                            for your information                           |  es  | en |  4   |
|                              gastos varios                              |                           miscellaneous expenses                          |  es  | en |  5   |
|                             límite de deuda                             |                                 debt limit                                |  es  | en |  6   |
|                          calificación dividida                          |                               rating divided                              |  es  | en |  7   |
|                   apertura del régimen de importación                   |                        opening of the import regime                       |  es  | en |  8   |
|                             costos de ventas                            |                               Cost of sales                               |  es  | en |  9   |
|                              brecha fiscal                              |                                 fiscal gap                                |  es  | en |  10  |
|                            fondo de acciones                            |                                 stock fund                                |  es  | en |  11  |
|                            mercado eficiente                            |                              efficient market                             |  es  | en |  12  |
|                                promocion                                |                                 promotion                                 |  es  | en |  13  |
|                       plazas financieras off-shore                      |                         offshore financial centers                        |  es  | en |  14  |
|                                  cuota                                  |                                   share                                   |  es  | en |  15  |
|                         retorno libre de riesgo                         |                              risk-free return                             |  es  | en |  16  |
|                              orden de pago                              |                               payment order                               |  es  | en |  17  |
|                           préstamo con atraso                           |                                overdue loan                               |  es  | en |  18  |
|                           competencia desleal                           |                             unfair competition                            |  es  | en |  19  |
|                           mercados financieros                          |                             financial markets                             |  es  | en |  20  |
|                           operación sin riesgo                          |                               safe operation                              |  es  | en |  21  |
|                        transferencias económicas                        |                             economic transfers                            |  es  | en |  22  |
|                     analista de activos financieros                     |                          analyst financial assets                         |  es  | en |  23  |
|                              sobresuscripta                             |                               oversubscribed                              |  es  | en |  24  |
|                      relación precio/ganancia (per)                     |                        price / earnings ratio (per)                       |  es  | en |  25  |
|                         informe de cuenta nueva                         |                             report new account                            |  es  | en |  26  |
|                                 compañía                                |                                  company                                  |  es  | en |  27  |
|                        diversificación de riesgos                       |                            risk diversification                           |  es  | en |  28  |
|                           bienes individuales                           |                              individual goods                             |  es  | en |  29  |
|                         bono de reestructuración                        |                             bond restructuring                            |  es  | en |  30  |
|                            centro financiero                            |                              financial center                             |  es  | en |  31  |
|                                  casar                                  |                                   marry                                   |  es  | en |  32  |
|                          gastos presupuestados                          |                           budgeted expenditures                           |  es  | en |  33  |
|                          presupuesto base cero                          |                             zero-based budget                             |  es  | en |  34  |
|                        acción con derecho a voto                        |                               voting action                               |  es  | en |  35  |
|                        transferencia electronica                        |                            electronic transfer                            |  es  | en |  36  |
|                           junta de directores                           |                             board of directors                            |  es  | en |  37  |
|                         bonos que emulan índices                        |                           bond indices emulating                          |  es  | en |  38  |
|                           coste de oportunidad                          |                              opportunity cost                             |  es  | en |  39  |
|                             oferta favorable                            |                              favorable offer                              |  es  | en |  40  |
|                    precio en el mercado extrabursátil                   |                           price over the counter                          |  es  | en |  41  |
|                            toma de posiciones                           |                              taking positions                             |  es  | en |  42  |
|                              costo laboral                              |                                 labor cost                                |  es  | en |  43  |
|                               aseguradora                               |                                 insurance                                 |  es  | en |  44  |
|                                previsión                                |                                  forecast                                 |  es  | en |  45  |
|                               devaluación                               |                                devaluation                                |  es  | en |  46  |
|                        estrangulamiento económico                       |                           economic strangulation                          |  es  | en |  47  |
|                           liquidación demorada                          |                             delayed settlement                            |  es  | en |  48  |
|                               cambio neto                               |                                 net change                                |  es  | en |  49  |
|                         impuesto sobre la renta                         |                                 income tax                                |  es  | en |  50  |
|                             cuentas a pagar                             |                              accounts payable                             |  es  | en |  51  |
|                            papeles defensivos                           |                              defensive roles                              |  es  | en |  52  |
|             ganancias por tenencia de valores a corto plazo             |                   holding gains on short-term securities                  |  es  | en |  53  |
|                             endoso limitado                             |                            limited endorsement                            |  es  | en |  54  |
|                      operación a precio de mercado                      |                         operation at market price                         |  es  | en |  55  |
|                             gravamen general                            |                                general tax                                |  es  | en |  56  |
|                           prima de conversión                           |                             conversion premium                            |  es  | en |  57  |
|                            fondos bloqueados                            |                               blocked funds                               |  es  | en |  58  |
|                           marco macroeconómico                          |                          macroeconomic framework                          |  es  | en |  59  |
|                           intereses devengados                          |                              accrued interest                             |  es  | en |  60  |
