EdwinEsquivel1|Médico y Cirujano. Visitador Médico. Fan de la tecnología y redes sociales
dep_Cristiano|Administrador formado e político por vocação. Luto para aumentar as oportunidades de trabalho e a qualidade de vida no DF. “Juntos pelo trabalho” é o meu lema.
tangomeri|Mercadologa y Tenista.            ( زندگی را به کمال  )
diablitamafer|Compradora compulsiva, adicta al chocolate, bolsas y relaciones enfermizas, dependiente, una mala persona, buena amiga, desequilibrada mental.. una maldita!!
GerenciaNorma|Libros de Editorial Norma sobre temas de gerencia escritos por los gurús mundiales y noticias sobre el sector editorial
SalvemosBosawas|El bosque de Bosawas es la reserva de Biosfera mas grande de Centroamérica.
asgobadj|Profesional en Negocios Internacionales  Apasionado por la logística internacional, aprendiendo aún de las finanzas internacionales (trading)
Nico_Labruna|http://facebook.com/Nyk0l4z.L http://ask.fm/nyk0l4zcHr1st1…  http://youtube.com/simsbustin1 http://youtube.com/36proyectos
LayCeRo|Lic. en Mercadotecnia
rogerio9|Pai, palestrino, publicitário, público. Um pouco de opinião sobre o mundo. Tecnologia, política e futebol em destaque. Sócio da http://t.co/R9QaJhew75 .
Rene_Osorio|Empresario con negocios en Transportes, Importaciones y Telecomunicaciones
INDHUR_COJEDES|Cuenta Oficial del Instituto de Desarrollo Habitacional Urbano y Rural del estado Cojedes. Gobierno Bolivariano de Cojedes
rocioanabeel|Todo en exceso hace daño, menos VOS ♥D♥
lmclub|Unica cuenta oficial del Lago Maracaibo Club, 62 años sembrando valores y tradición en la ciudad de Maracaibo
Mayrethv|Lcda. Relaciones Industriales. MSc. Gerencia de Recursos Humanos. Analista de Talento Humano Academico.
ECarleomar|Sinceridad, valores y Amor compartido 50% y 50%
labm1988|músico, poeta y loco, amigable, comelón, político, trabajador, crema de corazón y súper crítico
gaby_flores25|GOD♥•|UNAH - Comercio Internacional♥
Bere_Romero|Mercadologa de profesion, trabajadora, soñadora, romantica, enojona, detallista, expresiva, celosa, amorosa, independiente.... Enamorada de @charlosmg
JekaRamoncita|Profesional en Comercio Exterior. Pin 259EC2B4. Instagram JekaRamoncita
EstiloPelu|FãClubPedroLucas!!♥ Para o vocalista e Guitarrista da banda RESTART. Compartilhando noticias,fotos,vídeos e muito mais! Dono: Italo Thiago Since: 11/12/2010

sussanz10|Economics
felipericieri|A brazilian, entrepreneur, hiker, friendly, helping-hand, wanderluster with 25 and a half springs old, minding his own business.
MRKsaid19|★
Adrianitarc|Administradora Financiera
avomont|Director de arte, creativo, dedicado a lo digital, músico, emprendedor y entusiasta de la tecnología.
AdvanStudio|10 years integrating businesses into the DIGITAL WORLD, providing DIRECTION and PROJECT DEVELOPMENT, through TECHNOLOGICAL and INTERACTIVITY consultations.
jppenaloza|Santacruzano en la capital, bioquímico en de-formación, pseudo científico, long sleeper, deportista teórico, seco para las mímicas y #soydonante
antoniohen75|Ing Civil Industrial
mayemercado|Asesor de Viajes y Turismo Mayella.viajes@hotmail.com
EliStarelli|Química Industrial - Colegio Técnico Nacional .
analecastro|Anyfan. RBDmaniaca. 18 anos. Virginiana. Estudando de Tecnico em Mecanica Industrial. Sonhadora.
luisndestroy|Jefe de Mercadotecnia de Plomería Selecta, hincha del San Luis FC, fotógrafo y bajo de @KafkaClub beibi!
josh_michelena|Actuario geek tuiteando de futbol, tecnología, política, cine y otras muchas cosas
jessyTLugo|Mamá,hermana, hija y conpañera de vida. Apasionada de la tecnología y seguidora de la información.
EXITO_SINLIMITE|Empresa lider en el ramo del Desarrollo Humano y la Transformacion personal, para la consecusion de un mundo mejor, en valores y liderazgo
Marcelitamia25|comercio exterior y negocios internacionales.....
andreacance|Mis recuerdos son como las monedas en la bolsa del diablo: cuando una la abre, solo encuentra hojas secas
vHFeXx|Buena onda, fiestero, y muy buen amigo.

Preocupado por mí país y su política.


IvannaMordillo|None
DiegoPalmou|Refugiado político
Hectorsitoles|None
predduu|Se nada der certo, corra! 
Insta: pedromuuse
stark|analista de tecnología y amigo computín. doy la temperatura, no la hora.
aespejo_|Por ahora un granjero de firewalls
tomasgennari|None
ericalusbey|Lic. Comercio Internacional.
Comercio79|None
CarmenM54210981|Asesor de Negocios
StefanyFlorian|Lic. Administración del Comercio Internacional 

♕
valvuladoo|Se Deus criou as pessoas para amar, e as coisas para cuidar. Por que amamos as coisas e usamos as pessoas!
Elmike11|VideoBlogger,Liberal,Comunic...Revoluc.Donde hay fiesta?Vamos!inventemos negocios,q es un Hipster?Pasion x tecnologia y filosofar con un Cigarro Loco?Quien noo?
SlyFletcher|Daniela Garbez, 19, Potterhead, Galaxy defender, Marooner, futura jornalista, newsposter, editora no VSS, apaixonada por séries e uma eterna aprendiz.
MechiiBelu|DeCABJ.GAF. Tiquitiito. ComercioSuperiorN6. C.S y Teno Tachetes.
Gustavocortes|Ing Industrial malgeniado... ciclismo y futbol seguidor del Arsenal, Real Madrid e Hincha del mas grande del primer campeon IND. SANTA FE...
marcelamnrqz|Mamá y feliz , funcionaria pública de las mejores!! Tendencia política derechista a concho!
panxo_Opazo|Fanático del anime, la tecnología y los deportes, un comunicador frustrado, aveces un solitario incomprendido.
AlexanDeLarge|Mentir en nombre del amor no es malo, porque tal vez, eso retrase la tecnología de alguna forma.
BrasilAlemanews|BRASILALEMANHA NEWS é o portal que traz notícias sobre os mais relevantes temas no âmbito das relações entre os dois países. Acesse!
NovoCoxinha|Perfil das fofocas forrozeiras no Nordeste. #FUMOS coxinhanews@r7.com sigilo total.
leandrobechara|None
POLIS23ROJAS|Mercadologa de Profesión... Especialista en Estrategias de Venta .. Y seguidora fiel de la FIERA Y CHIVA de Corazón
juanjofaget|Uruguayo-Venezolano, a favor del desarrollo a través de la economía libre y la apertura económica
cleber3|Ateu,Apolítico, Rubro Negro,Estudante,Eclético
teosandrof|trabajo
Bayern_Brasil|Tempo real nos jogos do @FCBayern! 

Integrantes: @JoaoRafaael @LucasArruda93 @__Eberhardt @riqueziito
Eridhe|Hago soft news y pan con nutella.
jpcurvelo72|Administrador Financiero Especialista en Gerencia de Negocios Internacionales
BeMedina|Publicista, fanático de la tecnología, fotógrafo autodidacta y musico.
tajnnah|In love with fashion and e-business.
AlexCardenasP|Finanzas y Neg Internacional 2008, Fundación Universitaria Monserrate. El Tesoro Mas Valioso Mis Hijas Danna y Valentina =D
lamarielota|disOñadora chilena! amo el intercambio cultural :)
jhon_negro|Est. Ing Industrial, mas jodedor que er conde..!
HeyMonze|Futura Ingeniera en Biotecnología.
eduardo_bayter|Actor, modelo y administrador de negocios internacionales. Colombo libanes, de padre costeno y madre santanderiana. Integro, ético y con un futuro próspero ☺
CactusCosta|100% #SoyAzul Quiero construir puentes y derribar murallas. Creo que la educación y la política pueden ser puentes a la plenitud.
caiocastrobento|Bandnews FM.
BigAntuan|Industria automotriz establecida en Queretaro.
MaxiloMartinez|#odontología + #cirugiamaxilofacial + #tecnología
Rocidsazo|Trabajando por el sector exportador + Emprendedor + Adm. Público Lic. Cs. Politicas UDEC + Comercio internacional + Papá.
